trace,15.4333
crate,15.6419
slate,15.7483
parse,15.8562
crane,16.3028
stale,16.3028
heart,16.4184
least,16.5357
react,16.5357
cater,16.6547
tried,16.7754
clear,16.8978
train,16.8978
trade,17.0221
alien,17.1481
dealt,17.1481
trice,17.1481
chart,17.2761
cleat,17.2761
diner,17.2761
later,17.2761
pearl,17.2761
roast,17.2761
spare,17.2761
tread,17.2761
truce,17.2761
earth,17.406
pleat,17.406
shale,17.406
stare,17.406
blare,17.5379
horse,17.5379
leant,17.5379
paler,17.5379
plane,17.5379
raise,17.5379
saner,17.5379
snare,17.5379
alert,17.6718
crone,17.6718
drain,17.6718
lapse,17.6718
learn,17.6718
plate,17.6718
scale,17.6718
slant,17.6718
drone,17.8077
paste,17.8077
share,17.8077
snore,17.8077
suite,17.8077
filet,17.9457
lance,17.9457
plier,17.9457
renal,17.9457
rinse,17.9457
saint,17.9457
saute,17.9457
siren,17.9457
spire,17.9457
table,17.9457
trail,17.9457
